JobTitle,Company,Location,PostDate,ExtractDate,Summary,JobUrl
DICE: Senior Studio Analyst,Electronic Arts,Stockholm,10 dagar sedan,2020-09-21,Monitor data to identify changes and trends. Examine data reports to locate and resolve mistakes throughout. Analyze and collect data for many types of business…,,https://se.indeed.com/rc/clk?jk=a73445c387cb7415&fccid=617d7f961cfcf54a&vjs=3
"Group Digital, Business Navigation Analyst",IKEA,Helsingborg,5 dagar sedan,2020-09-21,"Preferable understanding of data science, new technologies, analytics and their wide-ranging application in business context.",,https://se.indeed.com/rc/clk?jk=55dc6e9e31e7f43b&fccid=af17ea0d1d6bbbba&vjs=3
Senior Analyst (various levels),Klarna,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Create structure in disordered information/data. Think of an analyst at Klarna as a ""Swiss army knife"". Klarna is a data driven company where decisions are…",,https://se.indeed.com/rc/clk?jk=b6fb157f971326c3&fccid=e327fa7aabb6e920&vjs=3
"Data Scientist, Team lead",Epidemic Sound,Stockholm,23 dagar sedan,2020-09-21,"Good understanding of data engineering practices and data modeling. Fluency in Python or R for data analysis. Actually. You can call yourself Data Analyst, Data…",,https://se.indeed.com/rc/clk?jk=d1e40cfea9947410&fccid=0724ac049d2b292c&vjs=3
Senior Data Engineer till en av våra mest strategiska kunder,Sogeti,Göteborg,Mer än 30 dagar sedan,2020-09-21,"Som Data Engineer kommer du bl arbeta med infrastrukturella aktiviteter (lagring, säkerhet, prestanda), design, bygga data pipelines, implementering,…",,https://se.indeed.com/rc/clk?jk=3cb834341f6e50e8&fccid=6eb97fc774cb61be&vjs=3
IT Security Analyst,Paradox Interactive,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Are you a curious and passionate security analyst? Install security measures and operate software to protect systems and information infrastructure, including…",,https://se.indeed.com/rc/clk?jk=18425c7008060e2f&fccid=b362c5db565b8d5d&vjs=3
Data Scientist for DeLaval,Level Recruitment,Tumba,Mer än 30 dagar sedan,2020-09-21,"Your responsibility is to develop and test models used in multivariate analysis, linear modelling and data mining of DeLaval´s data where you will be using…",,https://se.indeed.com/rc/clk?jk=51ed6e2f83531ed3&fccid=f576d9c136997227&vjs=3
Reporting Analyst,EPICO,Göteborg,4 dagar sedan,2020-09-21,Kunskaper i integration av data till Power BI. Lokalisering: Sverige (Göteborg) om möjligt. Det skulle förenkla om du har en rätt så bra bild av integrationer…,,https://se.indeed.com/rc/clk?jk=67d8ac4125869a5b&fccid=ae87f44adf978f09&vjs=3
Big Data Analyst,Next Ventures Limited,Sverige,Mer än 30 dagar sedan,2020-09-21,"Data Engineering exp of CI/CD pipelinging,.",,https://se.indeed.com/rc/clk?jk=4e83b36b04b8bfda&fccid=00cdad372c48b97b&vjs=3
Junior Business Analyst till Sabis,Academic Work,Stockholm,6 dagar sedan,2020-09-21,Du låter dig uppslukas av data och jobbar noggrant fram de bästa rapporterna. Som junior Business Analyst hos Sabis får du en bred roll med varierande…,,https://se.indeed.com/rc/clk?jk=6d69bb98f762ea0e&fccid=dccca727bf1a6346&vjs=3
Data Analyst (Cyber Security & Risk Management),Red Commerce,Stockholm,6 dagar sedan,2020-09-21,"Role :- Data Analyst (Cyber Security & Risk Management). End Date :- 5 Months + Possible Extension. Location :- Stockholm, Sweden (100% Remote during pandemic,…",,https://se.indeed.com/rc/clk?jk=2520e79d94e5eede&fccid=f3363a1b446e52ca&vjs=3
Lidl söker CRM Business Analyst,Retail recruitment,Stockholm,3 dagar sedan,2020-09-21,"Du samarbetar tätt med andra avdelningar som är i behov av att använda vår aggregerade data, t.ex. Vidare ansvarar du även för relevant analys, mätning,…",,https://se.indeed.com/rc/clk?jk=2c30e6cad1b9b8d2&fccid=6225215fd9dd9c94&vjs=3
Business Analyst,Avalanche Studios,Stockholm,Mer än 30 dagar sedan,2020-09-21,Partner in developing the data infrastructure (big-data) that enables data aware decision-making. Source data based on division needs and requirements.,,https://se.indeed.com/rc/clk?jk=203a618fa5ada3e4&fccid=b8ffc2ae19950ea4&vjs=3
"Data Analyst, Stockholm",Shaya Solutions AB,Stockholm,12 dagar sedan,2020-09-21,"As data analyst within Security & Risk Management you are responsible to collect, validate, model, and analyze data from disparate data sources.",,https://se.indeed.com/rc/clk?jk=4a3381964ae6d3d5&fccid=ddbb20bc2a34c637&vjs=3
Senior Product Analyst,MatHem eng,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Work with engineers to understand how we collect data and what we need to do to produce reliable product data, e.g. what instrumentation we need.",,https://se.indeed.com/rc/clk?jk=cbbf738dad9897cf&fccid=117a43fc5a23c4b4&vjs=3
Analyst med finansiellt intresse till SkySparc,Academic Work,Stockholm,3 dagar sedan,2020-09-21,Deras dagliga arbetsmiljö inkluderar arbete med stora finansiella datorsystem som hanterar stora mängder data i komplexa miljöer.,,https://se.indeed.com/rc/clk?jk=f97db660df67c439&fccid=dccca727bf1a6346&vjs=3
Business Analyst till svensk storbank,Academic Work,Stockholm,10 dagar sedan,2020-09-21,Gruppering och sortering av relativt komplex data. Du har en analytisk förmåga med sinne för komplexa analyser där du snabbt kan sätta dig in i invecklad…,,https://se.indeed.com/rc/clk?jk=f05c380824bba015&fccid=dccca727bf1a6346&vjs=3
Senior Data Analyst - Central Operations,iZettle,Stockholm,Mer än 30 dagar sedan,2020-09-21,You’ll empower other iZettlers to use data in their work by training them and developing our data platform and making data accessible through our BI tools.,,https://se.indeed.com/rc/clk?jk=a097bc44c0b995c0&fccid=978d9fd9799d55a8&vjs=3
Financial Controller (Analyst),Bluestorm Recruitment,Sverige,Mer än 30 dagar sedan,2020-09-21,This person will help to shape the strategy of the business and clarify performance via data-driven insights and scaled reporting solutions.,,https://se.indeed.com/rc/clk?jk=6621f0d74589e2c8&fccid=8d38cfeea18f7473&vjs=3
Kravledare / Business Analyst,CAG,Stockholm,Mer än 30 dagar sedan,2020-09-21,"Arbetat som kravledare, kravanalytiker, business analyst, produktägare eller motsvarande. Vill du utvecklas i din roll som kravledare/business analyst i en…",,https://se.indeed.com/rc/clk?jk=f294395846b363bc&fccid=eb71fbdc7ee28f5c&vjs=3
